plot_id,gez_name,gez_code,lu_factor,lu_code,envir_stress
de-axk1,Tropical dry forest,TAwb,Deciduous,DE,0.13865220546722412
de-1cfk,Tropical rainforest,TAr,Deciduous,DE,0.09884541481733322
ev-w4yl,Tropical rainforest,TAr,Evergreen,EV,0.1275116205215454
de-wo9j,Tropical rainforest,TAr,Deciduous,DE,0.07173237204551697
ev-odi1,Tropical rainforest,TAr,Evergreen,EV,0.15420517325401306
ev-9pgg,Tropical rainforest,TAr,Evergreen,EV,0.10624450445175171
ev-p4uq,Tropical rainforest,TAr,Evergreen,EV,0.1878649741411209
de-xz1k,Tropical rainforest,TAr,Deciduous,DE,0.02835175022482872
de-stz9,Tropical rainforest,TAr,Deciduous,DE,0.022360585629940033
ev-9doo,Tropical rainforest,TAr,Evergreen,EV,0.20264258980751038
ev-g1jj,Tropical rainforest,TAr,Evergreen,EV,0.08553995937108994
wl-ze8f,Tropical rainforest,TAr,Other woodland,WL,0.06106871739029884
de-hlm5,Tropical rainforest,TAr,Deciduous,DE,0.044504132121801376
de-2fbs,Tropical moist forest,TAwa,Deciduous,DE,0.17276746034622192
de-s7bu,Tropical rainforest,TAr,Deciduous,DE,0.16999384760856628
de-in9c,Tropical moist forest,TAwa,Deciduous,DE,0.0665455088019371
ev-lkf2,Tropical rainforest,TAr,Evergreen,EV,0.16293087601661682
de-2ncv,Tropical rainforest,TAr,Deciduous,DE,0.28166264295578003
ev-q7jf,Tropical rainforest,TAr,Evergreen,EV,0.1973777413368225
wl-rc1n,Tropical moist forest,TAwa,Other woodland,WL,0.2092895358800888
wl-asi7,Tropical rainforest,TAr,Other woodland,WL,0.19842299818992615
de-1jca,Tropical rainforest,TAr,Deciduous,DE,0.14058184623718262
de-y7hl,Tropical moist forest,TAwa,Deciduous,DE,0.09094928950071335
de-cs1w,Tropical moist forest,TAwa,Deciduous,DE,0.12854109704494476
wl-gfq3,Tropical dry forest,TAwb,Other woodland,WL,0.3419266641139984
wl-9jol,Tropical dry forest,TAwb,Other woodland,WL,0.16913791000843048
de-f2hn,Tropical moist forest,TAwa,Deciduous,DE,0.16670012474060059
de-lc9p,Tropical moist forest,TAwa,Deciduous,DE,0.16644950211048126
wl-bsu4,Tropical dry forest,TAwb,Other woodland,WL,0.4476391077041626
de-8cnj,Tropical moist forest,TAwa,Deciduous,DE,0.1803828328847885
de-y5no,Tropical moist forest,TAwa,Deciduous,DE,0.21475821733474731
de-ib4v,Tropical moist forest,TAwa,Deciduous,DE,0.23640958964824677
de-aac9,Tropical moist forest,TAwa,Deciduous,DE,0.2642991244792938
md-9qhz,Tropical moist forest,TAwa,Mixed Deciduous,MD,0.2865704298019409
md-i5aq,Tropical moist forest,TAwa,Mixed Deciduous,MD,0.358402818441391
de-tj9i,Tropical moist forest,TAwa,Deciduous,DE,0.20402228832244873
de-jvk3,Tropical moist forest,TAwa,Deciduous,DE,0.32064270973205566
pl-5udl,Tropical moist forest,TAwa,Plantation,PL,0.17166633903980255
de-n3pu,Tropical moist forest,TAwa,Deciduous,DE,0.2524276077747345
de-th2e,Tropical moist forest,TAwa,Deciduous,DE,0.3142220675945282
de-hwh3,Tropical moist forest,TAwa,Deciduous,DE,0.37860527634620667
de-1esx,Tropical moist forest,TAwa,Deciduous,DE,0.40761837363243103
de-j4ig,Tropical dry forest,TAwb,Deciduous,DE,0.2626532018184662
de-rx3i,Tropical moist forest,TAwa,Deciduous,DE,0.24809366464614868
de-bfm4,Tropical moist forest,TAwa,Deciduous,DE,0.3346847891807556
de-5uai,Tropical moist forest,TAwa,Deciduous,DE,0.38489967584609985
de-h9pj,Tropical moist forest,TAwa,Deciduous,DE,0.3850041627883911
wl-lf5d,Tropical shrubland,TBSh,Other woodland,WL,0.34208133816719055
de-ehy2,Tropical dry forest,TAwb,Deciduous,DE,0.18744441866874695
de-9gqv,Tropical moist forest,TAwa,Deciduous,DE,0.4234296977519989
de-q5hn,Tropical moist forest,TAwa,Deciduous,DE,0.46119189262390137
de-zh2x,Tropical moist forest,TAwa,Deciduous,DE,0.5967962145805359
de-jek6,Tropical moist forest,TAwa,Deciduous,DE,0.5389677286148071
de-4lzn,Tropical moist forest,TAwa,Deciduous,DE,0.6302061080932617
de-k8rj,Tropical moist forest,TAwa,Deciduous,DE,0.6012824773788452
wl-pc8l,Tropical shrubland,TBSh,Other woodland,WL,0.6551176309585571
de-kzt6,Tropical dry forest,TAwb,Deciduous,DE,0.7247797250747681
wl-1rwq,Tropical dry forest,TAwb,Other woodland,WL,0.6971134543418884
wl-o6ev,Tropical dry forest,TAwb,Other woodland,WL,0.7646624445915222
de-aj7z,Tropical dry forest,TAwb,Deciduous,DE,0.7730242609977722
de-amn6,Tropical dry forest,TAwb,Deciduous,DE,0.7036039233207703
de-8mvw,Tropical dry forest,TAwb,Deciduous,DE,0.8191289901733398
de-o3uc,Tropical dry forest,TAwb,Deciduous,DE,0.6626190543174744
ev-hm2h,Tropical rainforest,TAr,Evergreen,EV,0.10194207727909088
ev-vgi9,Tropical rainforest,TAr,Evergreen,EV,0.09023328870534897
ev-5tnb,Tropical rainforest,TAr,Evergreen,EV,0.09874629229307175
ev-a8ue,Tropical rainforest,TAr,Evergreen,EV,0.1328469216823578
mg-uy9j,Tropical moist forest,TAwa,Mangrove,MG,0.4084360897541046
mg-jsq8,Tropical moist forest,TAwa,Mangrove,MG,0.36488109827041626
mg-7snd,Tropical moist forest,TAwa,Mangrove,MG,0.35271307826042175
pl-k1ku,Tropical rainforest,TAr,Plantation,PL,0.21596850454807281
wl-dt6b,Tropical rainforest,TAr,Other woodland,WL,0.18776370584964752
ev-gyt8,Tropical rainforest,TAr,Evergreen,EV,0.16508790850639343
ev-9brl,Tropical rainforest,TAr,Evergreen,EV,0.15077432990074158
mg-d2oz,Tropical moist forest,TAwa,Mangrove,MG,0.41142627596855164
mg-ew9f,Tropical moist forest,TAwa,Mangrove,MG,0.3865484893321991
wl-oqw3,Tropical moist forest,NA,Other woodland,WL,0.36864370107650757
wl-5ofl,Tropical moist forest,TAwa,Other woodland,WL,0.35597890615463257
wl-m2mc,Tropical moist forest,TAwa,Other woodland,WL,0.30172890424728394
wl-xy3e,Tropical moist forest,TAwa,Other woodland,WL,0.2393193244934082
wl-qnp9,Tropical rainforest,TAr,Other woodland,WL,0.20596392452716827
ev-7vqq,Tropical rainforest,TAr,Evergreen,EV,0.17700070142745972
wl-w5uk,Tropical moist forest,TAwa,Other woodland,WL,0.4998640716075897
wl-eo2x,Tropical moist forest,TAwa,Other woodland,WL,0.4238845109939575
wl-efq2,Tropical moist forest,TAwa,Other woodland,WL,0.40137770771980286
wl-3ybm,Tropical moist forest,TAwa,Other woodland,WL,0.19347654283046722
wl-r6el,Tropical rainforest,TAr,Other woodland,WL,0.17288655042648315
pl-ho8t,Tropical rainforest,TAr,Plantation,PL,0.19299109280109406
wl-ehw9,Tropical moist forest,TAwa,Other woodland,WL,0.496960312128067
wl-8xth,Tropical rainforest,TAr,Other woodland,WL,0.2742285430431366
ev-o4fc,Tropical rainforest,TAr,Evergreen,EV,0.19701211154460907
ev-mj6b,Tropical rainforest,TAr,Evergreen,EV,0.1961839199066162
wl-zkg2,Tropical moist forest,TAwa,Other woodland,WL,0.40699711441993713
wl-7rtu,Tropical rainforest,TAr,Other woodland,WL,0.25657716393470764
wl-u4yo,Tropical rainforest,TAr,Other woodland,WL,0.2410551756620407
ev-ox9h,Tropical rainforest,TAr,Evergreen,EV,0.24112896621227264
ev-gco9,Tropical rainforest,TAr,Evergreen,EV,0.2479013353586197
ev-5ijt,Tropical rainforest,TAr,Evergreen,EV,0.22842417657375336
wl-u3vv,Tropical moist forest,TAwa,Other woodland,WL,0.562282919883728
wl-pu2f,Tropical moist forest,TAwa,Other woodland,WL,0.5564931035041809
wl-qoi8,Tropical moist forest,TAwa,Other woodland,WL,0.5440609455108643
wl-7vug,Tropical moist forest,TAwa,Other woodland,WL,0.5093383193016052
wl-y4cx,Tropical moist forest,TAwa,Other woodland,WL,0.4937913417816162
wl-go7i,Tropical rainforest,TAr,Other woodland,WL,0.31344375014305115
ev-kdc3,Tropical rainforest,TAr,Evergreen,EV,0.2557833790779114
ev-1cqy,Tropical rainforest,TAr,Evergreen,EV,0.2593773901462555
ev-k3yu,Tropical rainforest,TAr,Evergreen,EV,0.24619458615779877
wl-wq2v,Tropical moist forest,TAwa,Other woodland,WL,0.5948536992073059
wl-phz2,Tropical moist forest,TAwa,Other woodland,WL,0.5734971165657043
wl-8xxr,Tropical moist forest,TAwa,Other woodland,WL,0.5598425269126892
ev-h1rs,Tropical rainforest,TAr,Evergreen,EV,0.26996779441833496
ev-nn6c,Tropical rainforest,TAr,Evergreen,EV,0.25982698798179626
wl-qsk9,Tropical moist forest,TAwa,Other woodland,WL,0.6082664728164673
wl-4wez,Tropical moist forest,TAwa,Other woodland,WL,0.5817729234695435
wl-h3ct,Tropical moist forest,TAwa,Other woodland,WL,0.5710453391075134
wl-oc3j,Tropical moist forest,TAwa,Other woodland,WL,0.5669817328453064
wl-xtx2,Tropical moist forest,TAwa,Other woodland,WL,0.4996831715106964
wl-4yku,Tropical moist forest,TAwa,Other woodland,WL,0.5437005758285522
wl-i6dv,Tropical moist forest,TAwa,Other woodland,WL,0.48626819252967834
wl-fk3f,Tropical moist forest,TAwa,Other woodland,WL,0.41589397192001343
wl-oid3,Tropical moist forest,TAwa,Other woodland,WL,0.3677181601524353
wl-6cay,Tropical moist forest,TAwa,Other woodland,WL,0.3492823839187622
wl-a3sc,Tropical rainforest,TAr,Other woodland,WL,0.356687992811203
wl-ch3e,Tropical moist forest,TAwa,Other woodland,WL,0.5323401689529419
wl-qpe5,Tropical moist forest,TAwa,Other woodland,WL,0.4925794005393982
wl-5zty,Tropical moist forest,TAwa,Other woodland,WL,0.392471581697464
wl-v3tr,Tropical rainforest,TAr,Other woodland,WL,0.4003444015979767
wl-yc3f,Tropical rainforest,TAr,Other woodland,WL,0.3464280068874359
wl-ivz8,Tropical moist forest,TAwa,Other woodland,WL,0.5045645833015442
wl-5yki,Tropical moist forest,TAwa,Other woodland,WL,0.4931705892086029
wl-p2vg,Tropical rainforest,TAr,Other woodland,WL,0.35281163454055786
wl-uy2b,Tropical rainforest,TAr,Other woodland,WL,0.25146302580833435
wl-lmi5,Tropical moist forest,TAwa,Other woodland,WL,0.566389799118042
wl-5hmn,Tropical moist forest,TAwa,Other woodland,WL,0.514621376991272
wl-l7ry,Tropical rainforest,TAr,Other woodland,WL,0.2571774423122406
wl-xk8k,Tropical rainforest,TAr,Other woodland,WL,0.21581587195396423
wl-bay8,Tropical rainforest,TAr,Other woodland,WL,0.22298286855220795
wl-4dgj,Tropical moist forest,TAwa,Other woodland,WL,0.47521865367889404
wl-c1nv,Tropical moist forest,TAwa,Other woodland,WL,0.4343184530735016
wl-go6v,Tropical moist forest,TAwa,Other woodland,WL,0.482169508934021
wl-rmg1,Tropical moist forest,TAwa,Other woodland,WL,0.3764870762825012
wl-1yeg,Tropical dry forest,TAwb,Other woodland,WL,0.9058298468589783
wl-m5ru,Tropical dry forest,TAwb,Other woodland,WL,0.8608583211898804
wl-hi9s,Tropical moist forest,TAwa,Other woodland,WL,0.6785686016082764
wl-jfz7,Tropical moist forest,TAwa,Other woodland,WL,0.5105272531509399
wl-5sdc,Tropical moist forest,TAwa,Other woodland,WL,0.5605998039245605
wl-q2lz,Tropical moist forest,TAwa,Other woodland,WL,0.5848522186279297
wl-rz6k,Tropical moist forest,TAwa,Other woodland,WL,0.5602644681930542
wl-hbl4,Tropical moist forest,TAwa,Other woodland,WL,0.2813878655433655
wl-4qdb,Tropical moist forest,TAwa,Other woodland,WL,0.18146352469921112
wl-u7tw,Tropical moist forest,TAwa,Other woodland,WL,0.1614883840084076
wl-sh6f,Tropical moist forest,TAwa,Other woodland,WL,0.18299342691898346
md-ecz2,Tropical mountain system,TM,Mixed Deciduous,MD,0.1706087440252304
wl-1ymv,Tropical moist forest,TAwa,Other woodland,WL,0.15342043340206146
wl-e9tc,Tropical moist forest,TAwa,Other woodland,WL,0.15670384466648102
ev-yn5s,Tropical rainforest,TAr,Evergreen,EV,0.021559758111834526
ev-tbi8,Tropical rainforest,TAr,Evergreen,EV,0.026577750220894814
de-7osm,Tropical rainforest,TAr,Deciduous,DE,0.12516959011554718
md-n4vl,Tropical moist forest,TAwa,Mixed Deciduous,MD,0.16791903972625732
wl-fh8a,Tropical moist forest,TAwa,Other woodland,WL,0.15509545803070068
wl-reu6,Tropical moist forest,TAwa,Other woodland,WL,0.13615207374095917
ev-2ujg,Tropical rainforest,TAr,Evergreen,EV,-0.062310829758644104
ev-q5qi,Tropical rainforest,TAr,Evergreen,EV,-0.0558074526488781
ev-iz2t,Tropical rainforest,TAr,Evergreen,EV,-0.037326663732528687
de-ogu7,Tropical rainforest,TAr,Deciduous,DE,0.14671121537685394
ev-6kqk,Tropical rainforest,TAr,Evergreen,EV,0.1553671956062317
de-f8gi,Tropical rainforest,TAr,Deciduous,DE,0.1574794352054596
de-wo2u,Tropical moist forest,TAwa,Deciduous,DE,0.18559767305850983
de-jne1,Tropical moist forest,TAwa,Deciduous,DE,0.1637008935213089
de-4fnf,Tropical moist forest,TAwa,Deciduous,DE,0.1501258760690689
de-e3jg,Tropical moist forest,TAwa,Deciduous,DE,0.13619250059127808
de-xz8b,Tropical moist forest,TAwa,Deciduous,DE,0.13057971000671387
de-ocx2,Tropical moist forest,TAwa,Deciduous,DE,0.11905433982610703
ev-5oyq,Tropical moist forest,TAwa,Evergreen,EV,0.11741634458303452
md-x5tb,Tropical moist forest,TAwa,Mixed Deciduous,MD,0.11177296191453934
wl-dn4u,Tropical moist forest,TAwa,Other woodland,WL,0.10769279301166534
ev-wmo6,Tropical rainforest,TAr,Evergreen,EV,-0.09104171395301819
ev-2qax,Tropical mountain system,TM,Evergreen,EV,-0.06401558220386505
ev-b4sw,Tropical mountain system,TM,Evergreen,EV,-0.07448562234640121
ev-tp5n,Tropical rainforest,TAr,Evergreen,EV,-0.03760186955332756
wl-zhb3,Tropical rainforest,TAr,Other woodland,WL,0.05982271209359169
ev-4bcq,Tropical rainforest,TAr,Evergreen,EV,0.07881209254264832
de-u4ha,Tropical rainforest,TAr,Deciduous,DE,0.09699167311191559
de-na3d,Tropical rainforest,TAr,Deciduous,DE,0.10681303590536118
ev-svo1,Tropical rainforest,TAr,Evergreen,EV,0.10316324234008789
de-1ila,Tropical rainforest,TAr,Deciduous,DE,0.09285525977611542
de-h7ey,Tropical rainforest,TAr,Deciduous,DE,0.0853484570980072
de-hl8k,Tropical rainforest,TAr,Deciduous,DE,0.08361488580703735
de-kzy9,Tropical rainforest,TAr,Deciduous,DE,0.08039529621601105
ev-7kyy,Tropical rainforest,TAr,Evergreen,EV,0.0753054991364479
wl-f3vm,Tropical rainforest,TAr,Other woodland,WL,0.048657383769750595
md-qm7t,Tropical moist forest,TAwa,Mixed Deciduous,MD,0.061062585562467575
ev-zld9,Tropical rainforest,TAr,Evergreen,EV,-0.0843767523765564
ev-3tca,Tropical rainforest,TAr,Evergreen,EV,-0.07202316075563431
ev-y6kt,Tropical rainforest,TAr,Evergreen,EV,-0.03747236728668213
ev-qa5w,Tropical rainforest,TAr,Evergreen,EV,0.0013822820037603378
ev-nfl6,Tropical rainforest,TAr,Evergreen,EV,0.05197491496801376
de-7jii,Tropical rainforest,TAr,Deciduous,DE,-0.005115914158523083
de-x9zj,Tropical rainforest,TAr,Deciduous,DE,-0.015388453379273415
de-jv6u,Tropical rainforest,TAr,Deciduous,DE,-0.00391424261033535
ev-dkn2,Tropical rainforest,TAr,Evergreen,EV,0.012860171496868134
ev-7nlt,Tropical rainforest,TAr,Evergreen,EV,-0.0022120072972029448
de-s6os,Tropical rainforest,TAr,Deciduous,DE,0.02977941371500492
ev-dt3w,Tropical rainforest,TAr,Evergreen,EV,-0.17080871760845184
ev-dmi9,Tropical rainforest,TAr,Evergreen,EV,0.006676835939288139
de-4lrl,Tropical rainforest,TAr,Deciduous,DE,0.02135983668267727
de-r4lr,Tropical rainforest,TAr,Deciduous,DE,-0.053994711488485336
de-nq3f,Tropical rainforest,TAr,Deciduous,DE,-0.06009058654308319
de-twn2,Tropical rainforest,TAr,Deciduous,DE,-0.04668283462524414
ev-9vbf,Tropical rainforest,TAr,Evergreen,EV,-0.042345624417066574
ev-j5jv,Tropical rainforest,TAr,Evergreen,EV,-0.0465737022459507
ev-np1i,Tropical rainforest,TAr,Evergreen,EV,-0.019000710919499397
de-auk8,Tropical rainforest,TAr,Deciduous,DE,-0.01677112467586994
ev-2lak,Tropical rainforest,TAr,Evergreen,EV,-7.80319533078e-5
ev-g3uy,Tropical rainforest,TAr,Evergreen,EV,-0.049495335668325424
ev-ya2a,Tropical rainforest,TAr,Evergreen,EV,-0.029425539076328278
ev-avn1,Tropical rainforest,TAr,Evergreen,EV,-0.02092153951525688
ev-2dba,Tropical rainforest,TAr,Evergreen,EV,-0.015356538817286491
ev-h9gm,Tropical rainforest,TAr,Evergreen,EV,-0.016242749989032745
ev-cl2l,Tropical rainforest,TAr,Evergreen,EV,-0.04805637523531914
ev-wyo3,Tropical rainforest,TAr,Evergreen,EV,-0.05797262489795685
ev-2zzj,Tropical rainforest,TAr,Evergreen,EV,-0.06547117233276367
ev-m7cl,Tropical rainforest,TAr,Evergreen,EV,-0.07032296061515808
ev-gg3t,Tropical rainforest,TAr,Evergreen,EV,-0.07033870369195938
ev-nzv5,Tropical rainforest,TAr,Evergreen,EV,-0.06957829743623734
ev-5hnf,Tropical rainforest,TAr,Evergreen,EV,-0.07058229297399521
ev-i4vr,Tropical rainforest,TAr,Evergreen,EV,-0.06930408626794815
ev-ur4b,Tropical rainforest,TAr,Evergreen,EV,-0.05424508452415466
ev-jea2,Tropical rainforest,TAr,Evergreen,EV,-0.06018287315964699
ev-1eyv,Tropical rainforest,TAr,Evergreen,EV,-0.057621873915195465
ev-w2io,Tropical rainforest,TAr,Evergreen,EV,-0.05892371013760567
ev-eo7a,Tropical rainforest,TAr,Evergreen,EV,-0.05278629809617996
ev-iyv8,Tropical rainforest,TAr,Evergreen,EV,-0.13769912719726563
ev-4qai,Tropical rainforest,TAr,Evergreen,EV,-0.11378312855958939
ev-p7kp,Tropical rainforest,TAr,Evergreen,EV,-0.08340591192245483
ev-ra7n,Tropical rainforest,TAr,Evergreen,EV,-0.07169575244188309
ev-ylb7,Tropical rainforest,TAr,Evergreen,EV,-0.07015053927898407
ev-8fej,Tropical rainforest,TAr,Evergreen,EV,-0.08027350157499313
ev-e3jt,Tropical rainforest,TAr,Evergreen,EV,-0.08177829533815384
ev-zn9l,Tropical rainforest,TAr,Evergreen,EV,-0.09069125354290009
ev-rpa8,Tropical rainforest,TAr,Evergreen,EV,-0.0794624611735344
ev-6ohi,Tropical rainforest,TAr,Evergreen,EV,-0.0748172476887703
de-a8tl,Tropical rainforest,TAr,Deciduous,DE,-0.06949824839830399
de-ta7h,Tropical rainforest,TAr,Deciduous,DE,-0.0675092488527298
ev-kog9,Tropical rainforest,TAr,Evergreen,EV,-0.06695324927568436
de-8rsh,Tropical rainforest,TAr,Deciduous,DE,-0.049372248351573944
de-l3dd,Tropical rainforest,TAr,Deciduous,DE,-0.039897460490465164
de-ja8p,Tropical rainforest,TAr,Deciduous,DE,-0.026382461190223694
de-jvf3,Tropical rainforest,TAr,Deciduous,DE,-0.023694461211562157
ev-2xbr,Tropical rainforest,TAr,Evergreen,EV,-0.2085513323545456
ev-p3jq,Tropical rainforest,TAr,Evergreen,EV,-0.11712171137332916
ev-fj4x,Tropical rainforest,TAr,Evergreen,EV,-0.08921392261981964
ev-zlu9,Tropical rainforest,TAr,Evergreen,EV,-0.07567428797483444
ev-5zpx,Tropical rainforest,TAr,Evergreen,EV,-0.08425507694482803
ev-h4ii,Tropical rainforest,TAr,Evergreen,EV,-0.10554483532905579
ev-gt2u,Tropical rainforest,TAr,Evergreen,EV,-0.11223383247852325
ev-tzh5,Tropical rainforest,TAr,Evergreen,EV,-0.1113608330488205
ev-2ptl,Tropical rainforest,TAr,Evergreen,EV,-0.1108156219124794
ev-d2qk,Tropical rainforest,TAr,Evergreen,EV,-0.10840541869401932
ev-gq1w,Tropical rainforest,TAr,Evergreen,EV,-0.08018762618303299
ev-hrv3,Tropical rainforest,TAr,Evergreen,EV,-0.06679783761501312
ev-2wod,Tropical rainforest,TAr,Evergreen,EV,-0.055617835372686386
de-p1vz,Tropical rainforest,TAr,Deciduous,DE,-0.051895834505558014
de-nz2a,Tropical rainforest,TAr,Deciduous,DE,-0.030887046828866005
ev-ycc1,Tropical rainforest,TAr,Evergreen,EV,-0.0374610461294651
de-2dxw,Tropical rainforest,TAr,Deciduous,DE,-0.06179983541369438
ev-b4pn,Tropical rainforest,TAr,Evergreen,EV,-0.05124083533883095
de-nw3i,Tropical rainforest,TAr,Deciduous,DE,-0.044837046414613724
ev-zpy8,Tropical rainforest,TAr,Evergreen,EV,-0.021043289452791214
ev-3viv,Tropical rainforest,TAr,Evergreen,EV,-0.018205704167485237
ev-i1jw,Tropical rainforest,TAr,Evergreen,EV,-0.015249124728143215
ev-th3c,Tropical rainforest,TAr,Evergreen,EV,-0.018324125558137894
ev-qlp3,Tropical rainforest,TAr,Evergreen,EV,-0.03381933644413948
ev-7amt,Tropical rainforest,TAr,Evergreen,EV,-0.024111079052090645
ev-d2uj,Tropical rainforest,TAr,Evergreen,EV,-0.028900789096951485
ev-qb8x,Tropical rainforest,TAr,Evergreen,EV,-0.025236204266548157
ev-oin5,Tropical rainforest,TAr,Evergreen,EV,-0.025669414550065994
ev-9xuh,Tropical rainforest,TAr,Evergreen,EV,-0.031116625294089317
ev-o2wt,Tropical rainforest,TAr,Evergreen,EV,-0.035434626042842865
ev-wf2n,Tropical rainforest,TAr,Evergreen,EV,-0.033317048102617264
ev-rcg4,Tropical rainforest,TAr,Evergreen,EV,-0.03148091584444046
ev-9ggt,Tropical rainforest,TAr,Evergreen,EV,-0.03209512680768967
ev-c2xd,Tropical rainforest,TAr,Evergreen,EV,-0.035477664321660995
ev-ce9o,Tropical rainforest,TAr,Evergreen,EV,-0.03910587355494499
ev-jal6,Tropical rainforest,TAr,Evergreen,EV,-0.030254289507865906
ev-4uuq,Tropical rainforest,TAr,Evergreen,EV,-0.032091498374938965
ev-l2cz,Tropical rainforest,TAr,Evergreen,EV,-0.021100124344229698
ev-ms8q,Tropical rainforest,TAr,Evergreen,EV,-0.02990766428411007
ev-wyr6,Tropical rainforest,TAr,Evergreen,EV,-0.03658466413617134
ev-9ras,Tropical rainforest,TAr,Evergreen,EV,-0.03803487494587898
ev-f7cc,Tropical rainforest,TAr,Evergreen,EV,-0.031660087406635284
ev-hh7c,Tropical rainforest,TAr,Evergreen,EV,-0.02873150072991848
ev-uio7,Tropical rainforest,TAr,Evergreen,EV,-0.02515449933707714
ev-8klw,Tropical rainforest,TAr,Evergreen,EV,-0.025343500077724457
ev-k6rb,Tropical rainforest,TAr,Evergreen,EV,-0.0313146635890007
