sp_id,sp_name,genus
Fuuoie,Fuuoieu,Fuuoieu
Fuuoie-unoi,Fuuoieu unoiur,Fuuoieu
Fuuoie-ikae,Fuuoieu ikaeil,Fuuoieu
Okafol-eeje,Okafol eeje,Okafol
Qixout-eeoz,Qixoute eeoz,Qixoute
Ejobuo-uuoa,Ejobuo uuoauu,Ejobuo
Fecuuy-raee,Fecuuyel raee,Fecuuyel
Uqeaeb-uuo,Uqeaeb uuo,Uqeaeb
Aioaah-evua,Aioaaham evuaez,Aioaaham
Imoriv-eomu,Imoriveoi eomu,Imoriveoi
Coiou-uaoh,Coiou uaohua,Coiou
Ayeias,Ayeiasiuza,Ayeiasiuza
Gimaou,Gimaouu,Gimaouu
Gimaou-ozaa,Gimaouu ozaao,Gimaouu
Umonaw-ulu,Umonawio ulu,Umonawio
Umonaw-eau,Umonawio eau,Umonawio
Umonaw-uoiu,Umonawio uoiuuo,Umonawio
Umonaw-iiao,Umonawio iiaoi,Umonawio
Umonaw-nio,Umonawio nio,Umonawio
Lotae-omoo,Lotae omoo,Lotae
Ooaqor-ovuu,Ooaqoriel ovuu,Ooaqoriel
Zituok-ueco,Zituokut uecou,Zituokut
Ayanam-uoub,Ayanamoi uoubuo,Ayanamoi
Ayanam-ioix,Ayanamoi ioixio,Ayanamoi
Ayanam-liau,Ayanamoi liau,Ayanamoi
Ayanam-itue,Ayanamoi itue,Ayanamoi
Uajaex-oqee,Uajaexafeo oqeeoq,Uajaexafeo
Aqibit-eib,Aqibitoax eib,Aqibitoax
Huyei-uoui,Huyei uouiuo,Huyei
Inufaf,Inufafu,Inufafu
Inufaf-daou,Inufafu daoula,Inufafu
Inufaf-aru,Inufafu aru,Inufafu
Inufaf-ayi,Inufafu ayi,Inufafu
Inufaf-oiia,Inufafu oiia,Inufafu
Inufaf-oeej,Inufafu oeej,Inufafu
Inufaf-ueur,Inufafu ueuru,Inufafu
Inufaf-geo,Inufafu geo,Inufafu
Inufaf-oaie,Inufafu oaie,Inufafu
Inufaf-eqou,Inufafu eqoue,Inufafu
Inufaf-ouxe,Inufafu ouxeou,Inufafu
Inufaf-aau,Inufafu aau,Inufafu
Inufaf-oaa,Inufafu oaa,Inufafu
Inufaf-uooo,Inufafu uooo,Inufafu
Inufaf-eia,Inufafu eia,Inufafu
Inufaf-ojoi,Inufafu ojoi,Inufafu
Inufaf-aelo,Inufafu aeloa,Inufafu
Inufaf-aaes,Inufafu aaes,Inufafu
Inufaf-ouu,Inufafu ouu,Inufafu
Inufaf-nuuo,Inufafu nuuo,Inufafu
Naaaih-raee,Naaaihe raee,Naaaihe
Naaaih-olu,Naaaihe olu,Naaaihe
Naaaih-ovee,Naaaihe oveeoa,Naaaihe
Iiihit-aeqa,Iiihituoc aeqaae,Iiihituoc
Iahuet-ooam,Iahueteve ooamoo,Iahueteve
Iuureb-uoub,Iuurebioe uoubuo,Iuurebioe
Ievour-iio,Ievouriuig iio,Ievouriuig
Ievour-mia,Ievouriuig mia,Ievouriuig
Ievour-uhai,Ievouriuig uhaiu,Ievouriuig
Ebogax-iveu,Ebogaxue iveui,Ebogaxue
Noyiid-ueuu,Noyiide ueuu,Noyiide
Noyiid-ieip,Noyiide ieip,Noyiide
Orovui-ueug,Orovuioaco ueugu,Orovuioaco
Yisiue-moua,Yisiueuye mouay,Yisiueuye
Unaeub-etu,Unaeub etu,Unaeub
Veueez-epee,Veueezas epee,Veueezas
Veueez-oak,Veueezas oak,Veueezas
Veueez-aoot,Veueezas aoota,Veueezas
Veueez-oaeg,Veueezas oaego,Veueezas
Ohilup-guie,Ohilupeo guie,Ohilupeo
Moyao-eaue,Moyao eaue,Moyao
Osizop-ujio,Osizopiayo ujiou,Osizopiayo
Huieuj-iume,Huieujemey iumei,Huieujemey
Huieuj-oueo,Huieujemey oueoou,Huieujemey
Uoepuq,Uoepuq,Uoepuq
Mevooe-vuiu,Mevooea vuiuz,Mevooea
Uyequn-aei,Uyequneeiu aei,Uyequneeiu
Nuzaex-oxee,Nuzaexomir oxeeo,Nuzaexomir
Nuzaex-eebi,Nuzaexomir eebie,Nuzaexomir
Ekoway,Ekowayuu,Ekowayuu
Joeeer-iiue,Joeeerahao iiuei,Joeeerahao
Joeeer-uiiu,Joeeerahao uiiuji,Joeeerahao
Ipizie-ame,Ipiziea ame,Ipiziea
Kuruuy,Kuruuyoqu,Kuruuyoqu
Kuruuy-eeca,Kuruuyoqu eecaee,Kuruuyoqu
Amuva,Amuva,Amuva
Amuva-oaat,Amuva oaat,Amuva
Amuva-jiae,Amuva jiae,Amuva
Haseiv-acea,Haseiv aceaab,Haseiv
Aluyi-ufie,Aluyi ufieu,Aluyi
Eizia-ouei,Eizia ouei,Eizia
Obihed,Obiheduau,Obiheduau
Obihed-aeu,Obiheduau aeu,Obiheduau
Obihed-puee,Obiheduau pueeiu,Obiheduau
Obihed-idoi,Obiheduau idoii,Obiheduau
Obihed-erue,Obiheduau erueef,Obiheduau
Yeeoes-auji,Yeeoesocal auji,Yeeoesocal
Uqate-iauj,Uqate iauji,Uqate
Ioaaaz-eain,Ioaaaza eainea,Ioaaaza
Ioaaaz-oio,Ioaaaza oio,Ioaaaza
Uzuoeq-udii,Uzuoequopu udiiu,Uzuoequopu
Yidouf,Yidoufeoub,Yidoufeoub
Yidouf-geo,Yidoufeoub geo,Yidoufeoub
Yidouf-aelu,Yidoufeoub aelua,Yidoufeoub
Yidouf-oiii,Yidoufeoub oiii,Yidoufeoub
Yidouf-aoot,Yidoufeoub aoota,Yidoufeoub
Uhaweb,Uhawebu,Uhawebu
