plot_id,tree_id,tree_no,tree_dbh,tree_pom,tree_height_top,tree_height_bole,tree_dist,tree_azimuth,tree_health,sp_id
ev-lkf2,ev-lkf2-01,1,27,1.29999995,12,5,6.4031242374328485,231.34019174590992,1,unk
ev-lkf2,ev-lkf2-02,2,24,1.29999995,4,3,8.06225774829855,262.8749836510982,2,unk
ev-lkf2,ev-lkf2-03,3,25,1.29999995,13,11,18.110770276274835,276.3401917459099,1,unk
ev-lkf2,ev-lkf2-04,4,22,1.29999995,11,6,13.45362404707371,311.98721249581666,1,unk
ev-lkf2,ev-lkf2-05,5,22,1.29999995,11,5,12.083045973594572,335.55604521958344,1,unk
ev-lkf2,ev-lkf2-06,6,35,1.29999995,7,3,3,180,1,unk
ev-lkf2,ev-lkf2-07,7,25,1.29999995,9,4,3,90,1,unk
ev-lkf2,ev-lkf2-08,8,30,1.29999995,5,1,15.811388300841896,71.56505117707799,2,unk
ev-lkf2,ev-lkf2-09,9,22,1.29999995,6,4,7.810249675906654,50.19442890773481,2,unk
ev-lkf2,ev-lkf2-10,10,24,1.29999995,8,2,7.810249675906654,39.80557109226519,1,unk
ev-lkf2,ev-lkf2-11,11,22,1.29999995,6,3,19.235384061671343,62.10272896905237,2,unk
de-2ncv,de-2ncv-01,1,26,1.29999995,15,10,10.63014581273465,221.18592516570965,1,unk
de-2ncv,de-2ncv-02,2,25,1.29999995,16,12,10.295630140987,240.94539590092288,1,Ijoual-ueuu
de-2ncv,de-2ncv-03,3,26,1.29999995,14,9,12.649110640673518,251.565051177078,2,Ijoual-ueuu
de-2ncv,de-2ncv-04,4,28,1.29999995,18,10,8.94427190999916,243.43494882292202,1,Ijoual-ueuu
de-2ncv,de-2ncv-05,5,35,1.29999995,17,12,5.830951894845301,239.03624346792648,1,Ijoual-ueuu
de-2ncv,de-2ncv-06,6,31,1.29999995,16,8,5.656854249492381,315,2,Ijoual-ueuu
de-2ncv,de-2ncv-07,7,49,1.29999995,25,19,10.295630140987,299.05460409907715,1,Ijoual-ueuu
de-2ncv,de-2ncv-08,8,26,1.29999995,18,7,18.24828759089466,170.5376777919744,2,Ijoual-ueuu
de-2ncv,de-2ncv-09,9,28,1.29999995,19,9,17.72004514666935,163.6104596659652,1,Ijoual-ueuu
de-2ncv,de-2ncv-10,10,26,1.29999995,15,6,16.15549442140351,158.19859051364818,1,Ijoual-ueuu
de-2ncv,de-2ncv-11,11,29,1.29999995,10,5,12.649110640673518,161.56505117707798,1,Ijoual-ueuu
de-2ncv,de-2ncv-12,12,28,1.29999995,20,16,11.180339887498949,169.69515353123398,2,Ijoual-ueuu
de-2ncv,de-2ncv-13,13,42,1.29999995,16,8,14.7648230602334,118.30075576600638,1,Ijoual-ueuu
de-2ncv,de-2ncv-14,14,29,1.29999995,18,7,12.806248474865697,38.65980825409009,1,Ijoual-ueuu
de-2ncv,de-2ncv-15,15,37,1.29999995,30,20,17.4928556845359,30.963756532073518,1,Ijoual-ueuu
ev-q7jf,ev-q7jf-01,1,20,1.29999995,12,8,13.601470508735444,107.10272896905236,1,unk
ev-q7jf,ev-q7jf-02,2,20,1.29999995,18,12,13,90,1,Ahetoi-ako
ev-q7jf,ev-q7jf-03,3,20,1.29999995,18,12,15.811388300841896,71.56505117707799,1,unk
ev-q7jf,ev-q7jf-04,4,24,1.29999995,15,12,15.556349186104045,45,1,unk
ev-q7jf,ev-q7jf-05,5,21,1.29999995,18,14,17.4928556845359,149.03624346792648,1,Inufaf-aru
wl-rc1n,wl-rc1n-01,1,25,1.29999995,15,11,6.4031242374328485,321.3401917459099,1,Haeoao-auid
wl-rc1n,wl-rc1n-02,2,30,1.29999995,20,17,11.180339887498949,169.69515353123398,2,unk
wl-rc1n,wl-rc1n-03,3,14,1.29999995,13,10,2,90,1,unk
wl-asi7,wl-asi7-01,1,26,1.29999995,8,4,13.038404810405298,265.6012946450045,1,unk
wl-asi7,wl-asi7-02,2,34,1.29999995,7,5,4.123105625617661,255.9637565320735,1,unk
de-1jca,de-1jca-01,1,24,1.29999995,12,9,9.219544457292887,282.5288077091515,2,unk
