genus,wd_avg2
Fuuoieu,0.7944189236111111
Okafol,0.3
Ejobuo,0.5111111111111111
Fecuuyel,0.6950000000000001
Aioaaham,0.8255
Coiou,0.715
Umonawio,0.6688155363155364
Lotae,0.633
Ooaqoriel,0.41595925925925925
Ayanamoi,0.6672265625
Uajaexafeo,0.824125
Aqibitoax,0.37
Huyei,0.6505333333333333
Inufafu,0.5576630237046903
Naaaihe,0.4023541666666667
Iiihituoc,0.958
Iahueteve,0.38
Iuurebioe,0.67
Ievouriuig,0.6084166666666667
Ebogaxue,0.51775
Noyiide,0.4050740740740741
Orovuioaco,0.5071666666666667
Yisiueuye,0.6786666666666666
Unaeub,0.5759166666666666
Veueezas,0.4554948717948718
Ohilupeo,0.58
Moyao,0.625
Osizopiayo,0.8243333333333334
Mevooea,0.9164999999999999
Uyequneeiu,0.7258333333333333
Nuzaexomir,0.6167142857142858
Ekowayuu,0.9750000000000001
Joeeerahao,0.4544904761904762
Ipiziea,0.7827708333333333
Amuva,0.7307142857142858
Haseiv,0.5458958333333334
Aluyi,0.824
Eizia,0.45964285714285713
Obiheduau,0.446796875
Yeeoesocal,0.291
Uqate,0.7999090909090909
Ioaaaza,0.5377777777777778
Uzuoequopu,0.69
Yidoufeoub,0.68533333333333335
Uhawebu,0.40875
Mipaum,0.3815263157894737
Ehogeuoe,0.6575333333333333
Faxuo,0.48659166666666664
Itujibuori,0.8065
Rozuauixu,0.2449653846153846
Ooubeia,0.5766666666666667
Hieiowuqil,0.4464705882352941
Eyiooau,0.765
Povaebazuj,0.47150000000000003
Ilomo,0.66
Aakuero,0.4029166666666667
Uguleyo,0.5909285714285715
Ieaauneax,0.4864588744588745
Zoleecu,0.7561549523809524
Juruo,0.46
Etimoh,0.8352542735042735
Aeteidaba,0.326
Quoioyijez,0.37785185185185183
Efasu,0.7517777777777778
Vuioeqiw,0.5384
Ikasohei,0.6664687499999999
Yieeagezi,0.5768333333333333
Poqaoge,0.6240909090909091
Enowejo,0.723625
Misea,0.7154545454545455
Uxeuuvua,0.38116666666666665
Yoiiieek,0.664625
Usahecuaku,0.495
Loeuaf,0.772
Elixofaok,0.50403125
Ofusupe,0.7553333333333333
Aqeditee,0.5630095238095238
Aiuso,0.8310833333333334
Peeoaxug,0.6244998316498316
Exeauq,0.5193705357142857
Tinio,0.5959090909090909
Eauna,0.68525
Ibufut,0.8831
Uweua,0.35841666666666666
Tusoa,0.87
Iwaloj,0.594
Guuaocae,0.5
Erojemeez,0.7066666666666666
Luguivinu,0.73
Ijoualia,0.5999230769230769
Kemooraxi,0.6
Uzueowoi,0.5608841991341992
Zofoaii,0.6567883116883118
Ikomunuey,0.40449999999999997
Deauouex,0.4615
Ulafufueju,0.31125
Padaac,0.3905892857142857
Devaoeah,0.6125
Irebuvouc,0.31083333333333335
Hazoih,0.43333333333333335
Udeai,0.6519102564102565
Ueaau,0.935
Iruhaha,0.66275
Puseefiw,0.7849999999999999
Ucagizii,0.35
Piiiua,0.615
Aeoqi,0.5468739837398374
Iloueliii,0.7132555555555555
Losuouenur,0.7383333333333333
Ijetia,0.7833333333333333
Cecauze,0.36693333333333333
Izene,0.42
Piuaaia,0.3036
Uueaia,0.48290041135335254
Oubaememei,0.44
Apipayuon,0.5315
Atimav,0.45
Ikuaavi,0.62858
Uuoraliuwu,0.7618071428571428
Pejeegij,0.5672199074074074
Iduxe,0.5675
Zuraisaho,0.8318214285714286
Ulakaiau,0.33983503401360543
Sasiiha,0.40695238095238095
Ahetoieuk,0.35279666666666665
Oosuixe,0.568944671201814
Ehukibeaie,0.6046666666666667
Oteyoqui,0.7072499999999999
Cigieboy,0.6827037037037037
Zuluuq,0.49666666666666665
Aeueaz,0.6613333333333333
Jaluuporev,0.5566666666666666
Mozaayux,0.77575
Acinajoe,0.6623822222222222
Ugebulooh,0.5482
Ulahu,0.46489343434343433
Bajuovot,0.827
Azikakaoba,0.7433333333333333
Oijuu,0.355
Iiiie,0.6517999999999999
Cojouni,0.32235
Avadoaoi,0.5365
Wojaooul,0.6
Oiecit,0.6764285714285715
Akosed,0.686923076923077
Ieiiozez,0.23658333333333334
Tixius,0.47426666666666667
Ozuhebu,0.633
Eemeaaer,0.6833333333333333
Egieof,0.5950238095238095
Ezuno,0.35860000000000003
Hiraoh,0.912
Ujaduzaos,0.806
Ehimig,0.4060972222222222
Viiieeoj,0.6123430555555556
Monoak,0.5668827505827506
Auipiaia,0.5982857142857143
Puxoiral,0.6
Eliyiooot,0.8284604938271605
Aikoedaw,0.6129666666666667
Ikiwil,0.8946666666666667
Rueaepehiu,1.03
Miyaiio,0.41200000000000003
Evaoiqa,0.4835833333333333
Veuuioi,0.6194999999999999
Enataviiq,0.4111666666666667
Leneisiv,0.5836838095238095
Ujoxoxoi,0.6719999999999999
Wuteule,0.702
Uhekofia,0.5039992753623188
Zufoeqotu,0.7773725490196078
Iyeqeh,0.5628999493414387
Tecoujucuv,0.75275
Acequri,0.61425
Waqiugag,0.65
Obeyipa,0.403
Ruaei,0.7788421052631579
Ocugiheo,0.5516666666666666
Rahuuyevin,0.8122744444444444
Unouui,0.714
Upiuoqeu,0.45125000000000004
Peziez,0.5707307516155342
Euulis,0.7812902157738095
Isiyolia,0.4762
Fajoiraf,0.452254329004329
Ieaie,0.64
Sogiedokau,0.717
Itociweazi,0.57875
Oxediki,0.19133333333333333
Bocie,0.3899166666666667
Ivejaluo,0.919
Qaruaiogec,0.7
Imiqagaa,0.825223050758765
Izecaw,0.99
Necaejes,0.5746249999999999
Ulisevoauu,0.6179920634920635
Xukaofi,0.8049999999999999
Eaexu,0.6955
Eateooe,0.6801150724637681
Agana,1.08
Iezuewipej,0.667
Imiiakuo,0.6563286749482402
Kueeereti,0.9024861111111111
Isawihoobi,0.3396
Aduvexioba,0.6045714285714285
Liruew,0.4355
Ubizar,0.484
Xejoie,0.579
Omeougeuko,0.42933333333333334
Colaose,0.459375
Unavouee,0.84
Wudoeae,0.40750000000000003
Ouuticued,0.6948263888888889
Yuzia,0.3556666666666667
Kaxoawe,0.72885
Uquvoeau,0.5533333333333333
Daiiago,0.6210435897435898
Auiuiroata,0.4992166666666667
Oqaiavoi,0.5111047149122807
Efuueni,0.6789999999999999
Zauioqu,0.33825
Afofi,0.42833333333333334
Exozodoa,0.5376296296296296
Bahuawutaq,0.5056527777777777
Udaio,0.8268333333333333
Iefiaaaru,0.523
Ahupam,0.6071
Abome,0.2786666666666667
Haeoaoi,0.844997619047619
Oayiehicu,0.91
Efabolo,0.7896111111111112
Euveika,0.8328518518518518
Eiioijeee,1.0766666666666667
Teeaapok,0.8329136313941161
Oeenidu,0.7767277777777778
Eloyah,0.457
Wihaoripel,0.52
Iciootuah,0.38766666666666666
Kaqeoho,0.5607083333333334
Unorihuo,0.5840000000000001
Cocoi,0.7253333333333333
Uzuuuaia,0.5725
Fubais,0.40468231707317076
Imeneboooi,0.501
Uzevecoo,0.369375
Xosieri,0.7825
Oduxin,0.68575
Ixupuduep,0.424
Owebuyaelo,0.7018333333333333
Uuvoonaean,0.7450206666666667
Udicib,0.6804444444444444
Kipeeio,0.5972999999999999
Bepao,0.756909090909091
Orucaneilo,0.6484444444444445
Mituuuime,0.8905000000000001
Ugilunei,0.6175
Augeu,0.5886857142857143
Azelaoaeya,0.4705916666666667
Lijualux,0.52
Ufufuc,0.3494
Bideo,0.5185
Apaeukoed,0.695
Bugaidi,0.5844333333333334
Auubuo,0.62
Kubiogavug,0.6196611721611722
Esiwey,0.5425384615384616
Natoaqac,0.699
Otudujaed,0.7853435626102293
Asouemi,1.1
Jusoaliruy,0.8483333333333333
Unejiuue,0.2535
Cimue,0.9245000000000001
Oreuaaoa,0.5
Qazao,0.3175
Uxilamii,0.56
Cupeezuxuw,0.9023123626373627
Izamuleeni,0.7826
Cijuiue,0.46699999999999997
Ifociwoogi,0.53
Fiteeoat,0.45
Geieifao,0.69625
Uaefidois,0.2992666666666667
Gukuuxuni,0.574
Aletiuaaca,0.6894562464985995
Sueiouo,0.283125
Ataju,0.395
Givoopo,0.4831369047619048
Acooa,0.5733333333333334
Lobeiyusen,0.48857142857142855
Ebalud,0.6697697368421053
Meruueuiup,0.7934015151515151
Atoiariiga,0.5485
Qokuaqag,0.5549166666666667
Iiusaqoe,0.28300000000000003
Koyaozo,0.6957401960784314
Ieabakeof,0.715683908045977
Eosouqoc,0.6930357142857142
Emaziuou,0.3736666666666667
Ooluajowii,0.7869999999999999
Ukowae,0.8115992063492063
Oukaubayu,0.702
Idegewuuei,0.456
Miyoi,0.6422083333333334
Aeauebuo,0.5627
Folai,0.5766276353276354
Arafiveo,0.6866060606060606
Tasue,0.43499999999999994
Epinaxi,0.8195694444444445
Xadii,0.6849375
Iojoaqujiy,0.7928571428571428
Akopubi,0.47876296296296295
Iefouueta,0.21250000000000002
