sp_name,wd_avg
Fuuoieu unoiur,0.68
Fuuoieu ikaeil,0.507
Fecuuyel raee,0.5349999999999999
Aioaaham evuaez,0.8255
Coiou uaohua,0.715
Umonawio ulu,0.6926428571428571
Umonawio eau,0.7313636363636363
Umonawio uoiuuo,0.6833333333333333
Umonawio iiaoi,0.716
Umonawio nio,0.59
Lotae omoo,0.633
Ooaqoriel ovuu,0.451
Ayanamoi uoubuo,0.7164999999999999
Ayanamoi ioixio,0.64675
Ayanamoi liau,0.66
Ayanamoi itue,0.7050000000000001
Uajaexafeo oqeeoq,0.81775
Inufafu daoula,0.51
Inufafu aru,0.5141538461538462
Inufafu oiia,0.6930000000000001
Inufafu oeej,0.475
Inufafu ueuru,0.56
Inufafu geo,0.49433333333333335
Inufafu oaie,0.5675
Inufafu eqoue,0.5125
Inufafu oaa,0.568
Inufafu uooo,0.555
Inufafu eia,0.6918181818181818
Inufafu ojoi,0.46
Inufafu aaes,0.5011111111111111
Inufafu ouu,0.644
Inufafu nuuo,0.4936666666666667
Naaaihe olu,0.4266666666666667
Iahueteve ooamoo,0.38
Iuurebioe uoubuo,0.76
Ievouriuig iio,0.687
Noyiide ueuu,0.3863333333333333
Noyiide ieip,0.381
Orovuioaco ueugu,0.525
Veueezas epee,0.3214
Veueezas oak,0.3255
Veueezas aoota,0.61775
Veueezas oaego,0.382
Ohilupeo guie,0.58
Osizopiayo ujiou,0.843
Mevooea vuiuz,0.9164999999999999
Uyequneeiu aei,0.83
Nuzaexomir oxeeo,0.616
Nuzaexomir eebie,0.6174285714285714
Joeeerahao iiuei,0.3912857142857143
Joeeerahao uiiuji,0.4465
Ipiziea ame,0.6506666666666667
Haseiv aceaab,0.5705
Aluyi ufieu,0.824
Eizia ouei,0.4372857142857143
Obiheduau aeu,0.5
Obiheduau pueeiu,0.27
Obiheduau idoii,0.55
Yeeoesocal auji,0.291
Uqate iauji,0.7999090909090909
Yidoufeoub aelua,0.529
Yidoufeoub aoota,0.8416666666666667
Uhawebu puoa,0.33
Mipaum uzeo,0.38305263157894737
Ehogeuoe aoiiae,0.6293333333333333
Ehogeuoe euw,0.61
Faxuo iic,0.5262
Faxuo ouaro,0.4876666666666667
Itujibuori ioemio,0.8065
